"","Sim.Compressor.kWh","Sim.Resistance.kWh","Sim.Total.kWh","Measured.Compressor.kWh","Measured.Resistance.kWh","Measured.Total.kWh","siteid","model"
"1",4.1168294125347,0.199783402364096,4.31661281489879,2.00638451170445,3.92405045039906,5.93043496210351,10441,"Voltex60"
"2",1.97659755749419,0.00883001464597108,1.98542757214016,2.24958950684819,0.00921373777783093,2.25880324462602,11289,"Voltex60"
"3",4.9602127362608,0.209095756134519,5.16930849239532,4.51036521970518,2.29054138048452,6.8009066001897,11531,"Voltex60"
"4",1.96047792014553,0.0358333104304243,1.99631123057595,2.28657664025579,0.273782402996414,2.56035904325221,13265,"Voltex60"
"5",4.86319853855212,0.083187010747414,4.94638554929954,2.88687276100429,3.97182263029091,6.8586953912952,13438,"Voltex60"
"6",11.2173168945515,6.27709683239737,17.4944137269489,6.23559513442128,13.7059312782117,19.941526412633,20814,"Voltex60"
"7",5.48322244878957,0.574614815628466,6.05783726441804,5.19549080172254,1.33391077687496,6.5294015785975,21578,"Voltex60"
"8",5.20346522870092,0.0340794678290989,5.23754469653002,5.34123571499268,0.978127695810082,6.31936341080276,22096,"Voltex60"
"9",2.5601289525748,0.0231021330614777,2.58323108563628,2.74185638675236,0.0558069554831901,2.79766334223555,22897,"Voltex60"
"10",2.28116804538251,0.0352831013138914,2.3164511466964,1.27392232150189,2.77689649335668,4.05081881485857,23666,"Voltex60"
"11",1.56377381376218,0.00897911991502524,1.57275293367721,1.98095826822287,0.0138970922539011,1.99485536047677,23744,"Voltex60"
"12",3.33966518943465,0.120764452952364,3.46042964238701,3.11258405602236,0.364255786801424,3.47683984282378,90015,"Voltex60"
"13",3.59992116151716,0.224506741447957,3.82442790296511,2.60223007433099,3.17026269760223,5.77249277193322,90023,"Voltex60"
"14",1.77666286503381,0.00884252910886738,1.78550539414268,1.90345620366097,0.113430122310199,2.01688632597117,90028,"Voltex60"
"15",2.75275412811981,0,2.75275412811981,3.15305644367335,0.17744296415951,3.33049940783286,90030,"Voltex60"
"16",3.6966878916919,2.47005499773819,6.16674288943009,2.71346507921777,4.76164394289379,7.47510902211157,90034,"Voltex60"
"17",2.94642076136738,1.31852423247247,4.26494499383985,2.89181009449601,1.64018415856119,4.53199425305719,90050,"Voltex60"
"18",3.71874474122579,0.578488520558248,4.29723326178404,2.82662910278274,3.58635692682465,6.41298602960739,90051,"Voltex60"
"19",6.47822882194093,0.999478005890547,7.47770682783148,5.5951955074668,5.40571934343668,11.0009148509035,90069,"Voltex60"
"20",4.43984504744127,0.992936974918264,5.43278202235953,5.10193362015679,0.770961648805636,5.87289526896243,90130,"Voltex60"
"21",4.03487410946585,1.10549495402745,5.14036906349329,3.82012619869094,2.08259770570692,5.90272390439786,90131,"Voltex60"
"22",1.48829336636203,0.25150963530269,1.73980300166472,1.44397929423197,0.958002925949384,2.40198222018136,90135,"Voltex60"
"23",2.75575614401511,0.178672573821463,2.93442871783657,2.96089416791584,0.0114928913851699,2.97238705930101,90159,"Voltex60"
